strategy,config,ratio,equity,trades,avg_alloc
Rainbow Velocity,"w=10,t=0.1,a=96",1.0787991730213926,6.626670579978244,45,99.95294117647059
Rainbow Velocity,"w=10,t=0.1,a=97",1.0587386701877153,6.503446214153797,45,99.96470588235294
Rainbow Velocity,"w=10,t=0.1,a=98",1.0387493855159347,6.380659315570707,45,99.97647058823529
Rainbow Velocity,"w=10,t=0.15,a=94",1.1390384606006922,6.996698593294749,13,99.96885813148788
Rainbow Velocity,"w=10,t=0.15,a=95",1.1150505813673883,6.849349784019888,13,99.97404844290656
Rainbow Velocity,"w=10,t=0.15,a=96",1.0913233535950584,6.703602061778889,13,99.97923875432527
Rainbow Velocity,"w=10,t=0.15,a=97",1.067855739376242,6.5594490510840755,13,99.98442906574395
Rainbow Velocity,"w=10,t=0.15,a=98",1.044646687448968,6.416884294415871,13,99.98961937716263
Rainbow Velocity,"w=10,t=0.2,a=94",1.1018620624430897,6.768337513585563,3,99.97923875432527
Rainbow Velocity,"w=10,t=0.2,a=95",1.0845948639727185,6.6622713995545455,3,99.98269896193773
Rainbow Velocity,"w=10,t=0.2,a=96",1.0673764224893698,6.556504781944688,3,99.98615916955018
Rainbow Velocity,"w=10,t=0.2,a=97",1.0502072298061198,6.451040681784672,3,99.98961937716263
Rainbow Velocity,"w=10,t=0.2,a=98",1.0330877735566737,6.3458820944308245,3,99.99307958477509
Rainbow Velocity,"w=14,t=0.05,a=94",1.1475508002810622,7.048986797009908,469,99.27750865051902
Rainbow Velocity,"w=14,t=0.05,a=95",1.1229498757006353,6.8978722733485665,469,99.39792387543253
Rainbow Velocity,"w=14,t=0.05,a=96",1.0982551778751335,6.746181734781143,469,99.51833910034603
Rainbow Velocity,"w=14,t=0.05,a=97",1.0734899507487654,6.59405796039489,469,99.63875432525951
Rainbow Velocity,"w=14,t=0.05,a=98",1.0486772167390874,6.44164236851948,469,99.75916955017301
Rainbow Velocity,"w=14,t=0.1,a=94",1.1400860834735367,7.0031337592125595,55,99.90242214532873
Rainbow Velocity,"w=14,t=0.1,a=95",1.1160623910331524,6.855564962444505,55,99.91868512110726
Rainbow Velocity,"w=14,t=0.1,a=96",1.0922386443953978,6.709224359951168,55,99.93494809688582
Rainbow Velocity,"w=14,t=0.1,a=97",1.0686177567206827,6.564129846216403,55,99.95121107266436
Rainbow Velocity,"w=14,t=0.1,a=98",1.0452025492639674,6.4202987511823455,55,99.96747404844291
Rainbow Velocity,"w=14,t=0.15,a=94",1.0913626768146505,6.7038436100011145,9,99.96470588235294
Rainbow Velocity,"w=14,t=0.15,a=95",1.0760046279247126,6.609504706811391,9,99.97058823529412
Rainbow Velocity,"w=14,t=0.15,a=96",1.0606307844605511,6.515068783302271,9,99.9764705882353
Rainbow Velocity,"w=14,t=0.15,a=97",1.0452422749523362,6.420542771623746,9,99.98235294117647
Rainbow Velocity,"w=14,t=0.15,a=98",1.029840225600282,6.325933589613736,9,99.98823529411764
Rainbow Velocity,"w=14,t=0.2,a=94",1.102547803693453,6.772549772440502,3,99.97093425605536
Rainbow Velocity,"w=14,t=0.2,a=95",1.0851646546309182,6.665771416133964,3,99.97577854671282
Rainbow Velocity,"w=14,t=0.2,a=96",1.0678307648181682,6.559295641465885,3,99.98062283737025
Rainbow Velocity,"w=14,t=0.2,a=97",1.0505467481184227,6.453126219174547,3,99.98546712802768
Rainbow Velocity,"w=14,t=0.2,a=98",1.0333132133776848,6.3472668891792905,3,99.99031141868512
Rainbow Momentum,"ma=7,r=98,f=98",1.045277263160098,6.42075769144647,103,99.95432525951558
