buy_threshold,sell_threshold,alloc_min,alloc_max,use_fng_filter,fng_threshold,equity,ratio,cagr,max_dd,sharpe,trades
0.4,0.85,15,95,True,50.0,2.3741548272702264,0.3865042381950237,0.11538777940841749,-0.712494092365076,0.6228775891024846,1463
0.4,0.8,20,95,True,50.0,2.350312352924269,0.38262276539555845,0.1139668375977676,-0.7054350504831841,0.6206920874707719,1403
0.4,0.7,30,95,False,,2.34984305202766,0.38254636482410254,0.1139387424726368,-0.7121884065841817,0.6570598984300121,1164
0.35,0.9,15,95,False,,2.3453248200058208,0.38181081219479185,0.1136680033093127,-0.7229687474835125,0.6559887877369774,1669
0.35,0.8,25,95,True,50.0,2.3390016612435325,0.38078142370153406,0.11328834412059918,-0.7043326623395871,0.6160783174116726,1552
0.35,0.9,15,95,True,50.0,2.333687360176512,0.37991627377034387,0.11296856525159038,-0.7178313365823596,0.6171764836883978,1677
0.3,0.8,30,95,True,50.0,2.32743291135316,0.37889807101876555,0.11259139857732414,-0.708691215927759,0.6116186505144869,1702
0.35,0.85,20,95,True,50.0,2.3184898421956186,0.37744217012630554,0.11205055674235309,-0.71083380294425,0.6156660552667093,1621
0.4,0.75,25,95,False,,2.3142169392178915,0.3767465562213832,0.11179150453246178,-0.7132819340540846,0.6563409375377213,1288
0.35,0.75,30,95,False,,2.309575094972398,0.3759908799473185,0.11150961060366305,-0.7153472142716093,0.6517529758786669,1459
0.4,0.85,30,95,True,60.0,2.3087404756034897,0.37585500678535894,0.1114588726221557,-0.721308894958181,0.6295167243134551,1557
0.35,0.85,20,95,False,,2.3066912065709277,0.37552139283685426,0.11133422593514664,-0.7198282071941771,0.653280078432998,1624
0.4,0.8,20,95,False,,2.3057457338733647,0.3753674731343528,0.1112766849861524,-0.7154715695227298,0.6570380609610686,1396
0.4,0.9,25,95,True,60.0,2.3003589525626875,0.3744905236688454,0.1109484545776187,-0.7271355978462072,0.6296142816488909,1609
0.4,0.9,20,100,True,50.0,2.2900307682652064,0.37280913079674466,0.11031724922275754,-0.75000946088366,0.645417588593612,1515
0.4,0.8,30,100,True,50.0,2.28798575666453,0.37247620994350433,0.11019197374967038,-0.7362844716183757,0.6437014550347905,1386
0.35,0.9,30,95,True,60.0,2.2807263608215447,0.37129440527439805,0.10974647857915265,-0.725388207931327,0.6250291961587305,1731
0.35,0.8,25,95,False,,2.273156139645726,0.3700619993104231,0.10928058710563393,-0.7163829530580119,0.6507482763903225,1567
0.4,0.85,25,100,True,50.0,2.2697503143609086,0.36950754267094305,0.10907054132497396,-0.7430502489488799,0.6435739613026058,1459
