fng_w,fng_t,fng_a,rainbow_w,rainbow_t,rainbow_a,ratio,equity,trades,avg_alloc
7,8,96,10,0.005,95,1.4536337033269873,8.929142640073893,1481,94.82110726643599
7,8,95,10,0.005,96,1.4536337033269873,8.929142640073893,1481,94.82110726643599
7,12,95,10,0.01,94,1.4526889546411228,8.92333939283506,1518,94.75674740484426
7,12,94,10,0.01,95,1.4526889546411228,8.92333939283506,1518,94.75674740484426
7,10,94,7,0.01,94,1.451447183167347,8.915711642742075,1569,94.03183391003459
7,15,96,10,0.01,94,1.450379273459491,8.909151862182267,1372,95.70519031141869
7,15,94,10,0.01,96,1.450379273459491,8.909151862182267,1372,95.70519031141869
5,12,94,14,0.015,94,1.450191331413576,8.907997402615045,1667,94.76124567474048
5,12,94,14,0.02,95,1.4500006089909632,8.906825864205972,1684,95.62768166089965
5,12,95,14,0.02,94,1.4500006089909632,8.906825864205972,1684,95.62768166089965
7,10,96,7,0.005,94,1.4493927405804206,8.903091949856224,1476,94.69896193771626
7,10,94,7,0.005,96,1.4493927405804206,8.903091949856224,1476,94.69896193771626
7,10,95,10,0.01,95,1.4487940440206217,8.899414374846558,1563,94.86955017301038
7,10,95,10,0.02,95,1.4486975837966498,8.898821854807315,1668,95.47647058823527
7,12,94,10,0.015,94,1.4479528449650616,8.894247195289148,1593,94.59377162629755
5,12,94,7,0.02,94,1.4478782727453408,8.893789125291631,1679,95.0560553633218
7,15,94,10,0.02,96,1.4450023072127138,8.876123116028095,1562,96.3833910034602
7,15,96,10,0.02,94,1.4450023072127138,8.876123116028095,1562,96.3833910034602
7,8,95,7,0.01,95,1.4442699544448148,8.87162453958999,1579,94.68442906574394
7,15,95,10,0.015,94,1.444094529888734,8.87054697040579,1472,95.47681660899653
7,15,94,10,0.015,95,1.444094529888734,8.87054697040579,1472,95.47681660899653
7,15,94,7,0.02,96,1.4437867703483873,8.868656515590173,1584,96.44567474048444
7,15,96,7,0.02,94,1.4437867703483873,8.868656515590173,1584,96.44567474048444
7,10,95,14,0.02,95,1.4429279583923111,8.86338114639692,1653,95.58927335640138
7,10,94,7,0.015,95,1.4416671619215515,8.855636532673568,1626,94.89100346020759
7,10,95,7,0.015,94,1.4416671619215515,8.855636532673568,1626,94.89100346020759
