fng_low,fng_high,rainbow_low,rainbow_high,alloc_fear_low,alloc_fear_high,alloc_greed_low,alloc_greed_high,equity,ratio,cagr,max_dd,sharpe,trades
15,70,0.3,0.8,90,50,60,30,2.7923405958284135,0.45458344265298384,0.13847822225637985,-0.6268899582030506,0.5509539598539728,2045
15,70,0.35,0.8,95,50,70,30,2.7859101196401492,0.4535365832519758,0.13814676173195917,-0.6658087735915911,0.585311138136323,1944
15,75,0.35,0.8,90,60,70,30,2.7700398711601233,0.4509529613970394,0.13732585617349358,-0.6616864955119719,0.5853775822778507,2103
25,70,0.35,0.8,90,50,70,30,2.7600227598534386,0.44932221013767165,0.13680559250044033,-0.6654561983774161,0.5840319897242781,1943
15,75,0.35,0.75,90,50,70,30,2.756024102371102,0.448671242455926,0.13659745142630908,-0.6473605013296664,0.581578001784203,2099
15,70,0.3,0.75,90,50,70,30,2.7501474510810002,0.44771454384304316,0.13629107629995518,-0.6431764764906918,0.5752885117761078,2041
20,70,0.3,0.8,90,50,70,30,2.739402215661417,0.445965256483024,0.13572939880304125,-0.6583151148414594,0.577879464438524,2044
15,70,0.35,0.7,90,50,60,30,2.7356721121907137,0.4453580084704795,0.13553396780782245,-0.610487461093904,0.547171215388664,1936
15,70,0.3,0.8,90,60,70,30,2.728356591113381,0.4441670668063063,0.1351500093255522,-0.6572337534596658,0.5770701040319157,2045
20,75,0.35,0.8,90,50,70,30,2.7217583557527907,0.443092896789177,0.13480292562110097,-0.6618066947821399,0.5829885727961487,2102
15,70,0.35,0.65,90,50,70,30,2.7124499824320925,0.44157752563569247,0.1343120296744995,-0.6310239519482531,0.5729862246357205,1930
20,70,0.35,0.8,90,50,60,30,2.7005297407630415,0.43963695130057445,0.13368123773717233,-0.6366998427256461,0.5493311047380206,1943
15,75,0.3,0.8,90,50,70,30,2.675703356569689,0.4355953013628484,0.13235963423734898,-0.6555589999940946,0.5755327339453231,2171
15,70,0.3,0.75,90,50,60,30,2.6723727039450913,0.4350530825738394,0.1321815165455944,-0.6201753529089884,0.5421517702775015,2041
15,70,0.35,0.65,90,50,60,30,2.6700095861867665,0.43466837513249845,0.13205502332618346,-0.6094575564805178,0.5416840052165388,1930
15,70,0.35,0.75,90,60,60,30,2.6646262482134198,0.43379198623046245,0.13176649781485428,-0.6260464088781654,0.545037840653094,1940
15,80,0.35,0.8,90,50,70,30,2.6592215205219207,0.4329121151558973,0.13147631311720542,-0.6622993735660105,0.5809514309970576,2301
15,70,0.35,0.8,90,80,70,30,2.6471137716097655,0.43094101528667356,0.1308243623416534,-0.6704810897828601,0.5781426208198901,1944
20,70,0.35,0.7,90,50,70,30,2.640344325873777,0.42983897280943584,0.13045872010116533,-0.640154225967545,0.5721613039995985,1935
15,70,0.35,0.75,95,50,70,30,2.629699432804129,0.42810602083878346,0.12988209092729486,-0.6571002817827625,0.574988659767413,1940
15,70,0.35,0.75,90,70,70,30,2.6244568857115187,0.42725255220777564,0.12959735458013033,-0.6563681243280381,0.5740576774599949,1940
15,70,0.35,0.7,90,60,70,30,2.6203797174391736,0.4265888032395133,0.12937556925518812,-0.6404777203882763,0.5708392448645891,1936
15,70,0.35,0.8,90,70,60,30,2.6177757901246004,0.42616489283086,0.1292337658546654,-0.6403620321564334,0.5443294034209124,1944
15,75,0.35,0.8,90,70,70,30,2.6148492201832108,0.4256884573125321,0.1290742449748168,-0.6705057073273433,0.5783484844304718,2103
15,70,0.35,0.8,95,60,70,30,2.612122251428877,0.425244516180779,0.12892546346072575,-0.6722520636855904,0.5768893910086995,1944
20,70,0.35,0.75,90,60,70,30,2.6087637680427607,0.4246977666395395,0.12874204034984071,-0.6570337346980739,0.573488109482011,1939
20,70,0.35,0.8,90,70,70,30,2.598317658897556,0.4229971760079202,0.12817020571233084,-0.6722592728960978,0.5758812348398629,1943
20,70,0.35,0.75,90,50,60,30,2.596422039176314,0.42268857563870654,0.1280662215793189,-0.6290986304116332,0.5414387154053032,1939
25,70,0.35,0.75,90,50,70,30,2.5963876793925547,0.42268298198411675,0.1280643361629965,-0.6570525542856815,0.5732308433706097,1939
15,70,0.25,0.8,90,50,70,30,2.5934694240003577,0.4222079000457932,0.12790412381444338,-0.6373046933435933,0.5626854080482233,2235
15,70,0.3,0.8,90,60,60,30,2.593300906202226,0.4221804659280006,0.1278948673704443,-0.633745665515382,0.5394502835908151,2045
